



/home/amal/.nvm/versions/node/v16.14.2/bin/truffle
#Contracts,total Runtime,total RPC calls,net_version,eth_sendRawTransaction,eth_getTransactionReceipt,eth_getTransactionCount,eth_getTransactionByHash,eth_getCode,eth_getBlockByNumber,eth_getBalance,eth_gasPrice,eth_estimateGas,eth_chainId,eth_blockNumber
1,3799,75,4,1,1,1,1,1,24,1,2,2,17,19
2,3813,99,4,2,2,1,2,2,33,2,4,4,19,22
3,3893,123,4,3,3,1,3,3,42,3,6,6,21,25
4,4168,147,4,4,4,1,4,4,51,4,8,8,23,28
5,4230,171,4,5,5,1,5,5,60,5,10,10,25,31
6,4301,195,4,6,6,1,6,6,69,6,12,12,27,34
7,4359,219,4,7,7,1,7,7,78,7,14,14,29,37
8,4429,243,4,8,8,1,8,8,87,8,16,16,31,40
9,4639,267,4,9,9,1,9,9,96,9,18,18,33,43
10,4552,291,4,10,10,1,10,10,105,10,20,20,35,46
11,4732,315,4,11,11,1,11,11,114,11,22,22,37,49
12,4906,341,4,12,12,1,12,12,125,12,24,24,39,52
13,5036,367,4,13,13,1,13,13,136,13,26,26,41,55
14,5122,391,4,14,14,1,14,14,145,14,28,28,43,58
15,5062,417,4,15,15,1,15,15,156,15,30,30,45,61
16,5217,445,4,16,16,1,16,16,169,16,32,32,47,64
17,5327,471,4,17,17,1,17,17,180,17,34,34,49,67
18,5278,495,4,18,18,1,18,18,189,18,36,36,51,70
19,5543,521,4,19,19,1,19,19,200,19,38,38,53,73
20,5397,547,4,20,20,1,20,20,211,20,40,40,55,76
21,5608,573,4,21,21,1,21,21,222,21,42,42,57,79
22,5559,599,4,22,22,1,22,22,233,22,44,44,59,82
23,5809,627,4,23,23,1,23,23,246,23,46,46,61,85
24,5919,665,4,24,24,1,24,24,266,24,48,48,63,91
25,5865,685,4,25,25,1,25,25,271,25,50,50,65,94




/home/amal/work/truffle/packages/core/cli.js
#Contracts,total Runtime,total RPC calls,net_version,eth_sendRawTransaction,eth_getTransactionReceipt,eth_getTransactionCount,eth_getTransactionByHash,eth_getCode,eth_getBlockByNumber,eth_getBalance,eth_gasPrice,eth_estimateGas,eth_chainId,eth_blockNumber
1,3062,24,1,1,1,1,1,1,8,1,2,2,1,3
2,3018,42,1,2,2,1,2,2,15,2,4,4,1,4
3,3101,60,1,3,3,1,3,3,22,3,6,6,1,5
4,3222,78,1,4,4,1,4,4,29,4,8,8,1,6
5,3184,96,1,5,5,1,5,5,36,5,10,10,1,7
6,3294,114,1,6,6,1,6,6,43,6,12,12,1,8
7,3328,132,1,7,7,1,7,7,50,7,14,14,1,9
8,3406,150,1,8,8,1,8,8,57,8,16,16,1,10
9,3497,168,1,9,9,1,9,9,64,9,18,18,1,11
10,3529,186,1,10,10,1,10,10,71,10,20,20,1,12
11,3620,204,1,11,11,1,11,11,78,11,22,22,1,13
12,3608,222,1,12,12,1,12,12,85,12,24,24,1,14
13,3788,240,1,13,13,1,13,13,92,13,26,26,1,15
14,3796,258,1,14,14,1,14,14,99,14,28,28,1,16
15,3859,276,1,15,15,1,15,15,106,15,30,30,1,17
16,3933,294,1,16,16,1,16,16,113,16,32,32,1,18
17,4063,314,1,17,17,1,17,17,122,17,34,34,1,19
18,3994,332,1,18,18,1,18,18,129,18,36,36,1,20
19,4148,354,1,19,19,1,19,19,140,19,38,38,1,21
20,4098,372,1,20,20,1,20,20,147,20,40,40,1,22
21,4408,394,1,21,21,1,21,21,158,21,42,42,1,23
22,4186,412,1,22,22,1,22,22,165,22,44,44,1,24
23,4230,430,1,23,23,1,23,23,172,23,46,46,1,25
24,4316,452,1,24,24,1,24,24,183,24,48,48,1,26
25,4392,470,1,25,25,1,25,25,190,25,50,50,1,27
