#Contracts,total,net_version,eth_sendRawTransaction,eth_getTransactionReceipt,eth_getTransactionCount,eth_getTransactionByHash,eth_getCode,eth_getBlockByNumber,eth_getBalance,eth_gasPrice,eth_estimateGas,eth_chainId,eth_blockNumber
1,75,4,1,1,1,1,1,24,1,2,2,17,19
2,99,4,2,2,1,2,2,33,2,4,4,19,22
3,123,4,3,3,1,3,3,42,3,6,6,21,25
4,147,4,4,4,1,4,4,51,4,8,8,23,28
5,171,4,5,5,1,5,5,60,5,10,10,25,31
6,195,4,6,6,1,6,6,69,6,12,12,27,34
7,219,4,7,7,1,7,7,78,7,14,14,29,37
8,243,4,8,8,1,8,8,87,8,16,16,31,40
9,267,4,9,9,1,9,9,96,9,18,18,33,43
10,291,4,10,10,1,10,10,105,10,20,20,35,46
11,315,4,11,11,1,11,11,114,11,22,22,37,49
12,341,4,12,12,1,12,12,125,12,24,24,39,52
13,365,4,13,13,1,13,13,134,13,26,26,41,55
14,393,4,14,14,1,14,14,147,14,28,28,43,58
15,417,4,15,15,1,15,15,156,15,30,30,45,61
16,445,4,16,16,1,16,16,169,16,32,32,47,64
17,469,4,17,17,1,17,17,178,17,34,34,49,67
18,495,4,18,18,1,18,18,189,18,36,36,51,70
19,521,4,19,19,1,19,19,200,19,38,38,53,73
20,547,4,20,20,1,20,20,211,20,40,40,55,76
21,573,4,21,21,1,21,21,222,21,42,42,57,79
22,599,4,22,22,1,22,22,233,22,44,44,59,82
23,627,4,23,23,1,23,23,246,23,46,46,61,85
24,653,4,24,24,1,24,24,257,24,48,48,63,88
25,681,4,25,25,1,25,25,270,25,50,50,65,91
